line_id,prediction
0,67.68431937667997
2,57.42384161924253
6,67.95064833054755
10,61.44291697810965
13,0.0
14,0.0
15,0.0
21,63.196265058239234
33,0.0
38,58.81840551599046
40,61.95517292397279
43,59.5746580976094
46,0.0
52,64.55291816107506
53,58.445874601104244
55,70.65624811212732
57,58.999856573618665
59,57.18006783485893
64,64.9589167769725
67,0.0
68,59.01096907467357
69,59.824537056125195
71,60.52300560742761
74,58.97299883279174
85,0.0
87,0.0
88,11.37012186561483
89,0.0
93,63.76603146736702
96,60.09868387343295
101,0.0
105,64.10116639090512
110,64.61749977624486
113,0.0
114,8.601151684200566
116,67.41857143488578
120,0.0
121,0.0
127,0.0
128,0.0
133,66.36478198648852
135,0.0
147,62.0924660517533
148,67.05125829094379
150,0.0
153,0.0
156,58.0333788391034
162,64.47631039480589
165,62.82459300857305
169,59.426619551923785
170,12.777893994045833
172,67.72249606873065
178,62.79845151303636
181,62.36885693368319
182,0.0
186,0.0
190,62.231633638970635
197,60.2449130442652
199,63.83452124281706
200,0.0
201,67.40205522565492
206,61.95590403260357
214,68.97023602053056
217,64.73436921870325
222,60.2411298895308
223,62.047437783692146
224,0.0
226,63.196265058239234
227,62.55217022500263
230,0.0
232,60.34560823925365
236,67.69713257170606
238,61.31227565327353
239,0.0
240,69.7636084433505
243,69.06451984977357
245,0.0
247,61.972615565567146
249,0.0
250,56.095270469670105
251,0.0
258,8.7801866788814
259,0.0
260,65.18386783154912
261,61.88155014163469
262,0.0
267,67.45715029970765
270,56.120712287913165
272,62.79845151303636
276,0.0
278,60.273686819067905
281,64.46644510088731
286,0.0
288,65.43580314016953
290,9.141961965977567
293,62.94533966075799
296,61.84284306231831
301,63.373551672780096
303,71.91524755036404
306,63.00092100486712
309,63.54314430142708
311,60.26142925349607
313,62.34986485821498
317,0.0
318,62.09606446520674
319,65.51391451095633
323,0.0
324,0.0
328,8.273820089139466
331,0.0
332,60.77506988417077
333,66.24795972009139
335,60.085981749195824
337,63.146477401795934
338,65.56945733874139
341,0.0
342,67.41857143488578
345,72.29997265060126
346,65.54399980339103
352,68.96099074653795
359,59.32333398928603
360,0.0
370,67.72249606873065
371,64.08511088079305
373,0.0
375,58.91485058893776
378,0.0
379,66.94311840789132
380,0.0
381,73.21338953720843
383,61.972615565567146
387,63.76603146736702
389,0.0
391,70.60129108890513
392,58.86481905528829
393,65.40187529196396
394,56.7046149409161
401,0.0
405,62.120107772370126
408,0.0
410,0.0
415,61.817635950475285
418,8.761762582818033
426,0.0
429,60.80756582959332
430,62.28717812026649
438,60.11838233409795
442,8.153011167367366
451,72.02017699104577
452,65.20038404078
454,0.0
460,61.202281542775424
462,63.02112874033349
474,60.84848834305864
476,59.16252136547044
479,0.0
480,60.93300054920564
483,63.175756572572375
484,62.71986412660327
488,59.32333398928603
489,64.40909396024023
491,59.95942217759996
503,62.82367952463749
509,60.71371637367562
510,59.69360429434655
513,61.001252805359364
514,8.906527107582733
519,60.43465418448176
520,59.637032088137204
529,65.15110135644755
533,67.2267067335274
536,0.0
